"","logFC","AveExpr","t","P.Value","adj.P.Val","B","SYMBOL","plot_label"
"A_21_P0001183",2.0348684,2.416128275,10.6527859591473,1.34126366595273e-05,1.34126366595273e-05,-3.71757111152449,"XLOC_001064","XLOC_001064"
"A_33_P3802966",1.639275275,2.3660260375,10.340234383275,1.63599507039584e-05,1.63599507039584e-05,-3.72168455406621,"","A_33_P3802966"
"A_23_P124402",1.31837395,2.1422429,9.03177223083134,3.99901589992397e-05,3.99901589992397e-05,-3.74322814024831,"HTR3C","HTR3C"
"A_21_P0001731",1.348787525,2.1887035875,8.86088349094416,4.53112374563823e-05,4.53112374563823e-05,-3.74667893848955,"LOC100505768","LOC100505768"
"A_21_P0006724",1.16895275,2.04561385,8.79532311962857,4.75617060571748e-05,4.75617060571748e-05,-3.74804973923947,"XLOC_008696","XLOC_008696"
"A_33_P3228533",1.885373125,2.9418867875,8.16684757278157,7.69309771939059e-05,7.69309771939059e-05,-3.76266796550457,"","A_33_P3228533"
"A_23_P322735",1.5587935,2.16356405,7.29041381468028,0.000158760893402578,0.000158760893402578,-3.78858453219076,"TMC1","TMC1"
"A_19_P00321097",1.82593285,2.34622585,7.14339930204199,0.000180496981509755,0.000180496981509755,-3.79371940064924,"XLOC_001394","XLOC_001394"
"A_32_P223189",-1.101195925,7.9155460375,-7.07731717777836,0.000191343295613429,0.000191343295613429,-3.7961130321644,"SUMO1P3","SUMO1P3"
"A_21_P0003372",1.179687825,2.1829200375,6.89802852924184,0.000224654681180034,0.000224654681180034,-3.8028899555225,"XLOC_003554","XLOC_003554"
"A_23_P118158",1.779227925,2.6586359375,6.72422409121344,0.000263290431903811,0.000263290431903811,-3.80987873423841,"HS3ST2","HS3ST2"
"A_21_P0012957",1.122272825,1.9657266875,6.34996334689244,0.000374591957435707,0.000374591957435707,-3.8264876275856,"XLOC_l2_011793","XLOC_l2_011793"
"A_33_P3295991",0.700982424999999,4.8023747875,6.34482762692385,0.000376448850363473,0.000376448850363473,-3.82673161074715,"FLJ25694","FLJ25694"
"A_21_P0011850",-1.512020775,2.0925515625,-6.26228107238062,0.000407755773720463,0.000407755773720463,-3.83071706792762,"XLOC_l2_007543","XLOC_l2_007543"
"A_21_P0004527",1.28982245,2.196413475,6.15058808461076,0.000454863462453057,0.000454863462453057,-3.83630716941094,"XLOC_004554","XLOC_004554"
"A_23_P66854",-1.200052025,2.3663951875,-6.05207031539508,0.000501513211051827,0.000501513211051827,-3.84143482177202,"KRT20","KRT20"
"A_33_P3262276",-1.1733492,2.218703775,-5.97291974830362,0.000542885443454428,0.000542885443454428,-3.84569416976649,"OR10A7","OR10A7"
"A_21_P0012358",1.044956025,4.4363142875,5.93754748847991,0.000562597811463979,0.000562597811463979,-3.84763923375274,"XLOC_l2_009510","XLOC_l2_009510"
"A_21_P0013746",-1.855172525,2.7824970125,-5.76622119786638,0.000670126190803107,0.000670126190803107,-3.85743981108161,"XLOC_l2_015438","XLOC_l2_015438"
"A_33_P3886737",1.73979635,2.6074856,5.73505761711854,0.000692056757254686,0.000692056757254686,-3.85929264481908,"DKFZp686L13185","DKFZp686L13185"
"A_33_P3418662",1.182878575,5.1102707125,5.68150778790053,0.000731637459361593,0.000731637459361593,-3.86252888871765,"HSD17B3","HSD17B3"
"A_21_P0010062",1.2982889,2.58879115,5.67116958593932,0.000739566248506316,0.000739566248506316,-3.86316141637643,"XLOC_013807","XLOC_013807"
"A_21_P0002967",1.2577113,2.3277466,5.58747699473253,0.000807401121719087,0.000807401121719087,-3.86837643541172,"XLOC_002688","XLOC_002688"
"A_23_P415470",1.14889215,2.044280375,5.58467547003284,0.000809788880868441,0.000809788880868441,-3.8685539534302,"PCDHGB6","PCDHGB6"
"A_21_P0000763",1.1906221,2.053327825,5.58467311108608,0.000809790894729989,0.000809790894729989,-3.86855410298597,"LOC100507156","LOC100507156"
"A_23_P97402",1.8873967,2.9004646,5.56854677146922,0.00082368955964778,0.00082368955964778,-3.8695797216152,"CAMK1G","CAMK1G"
"A_33_P3304092",1.291543225,2.4974457125,5.56747282619491,0.000824624553553786,0.000824624553553786,-3.869648252624,"","A_33_P3304092"
"A_32_P185637",-1.02168915,1.98607215,-5.36577390972729,0.00102315487456259,0.00102315487456259,-3.88304409149988,"COL20A1","COL20A1"
"A_21_P0009393",1.494227325,2.2289980875,5.36330669118477,0.0010258920750598,0.0010258920750598,-3.88321462465492,"XLOC_012281","XLOC_012281"
"A_33_P3394858",1.474606775,2.5656255375,5.33373230197901,0.00105934484598731,0.00105934484598731,-3.88527180404061,"LINC00092","LINC00092"
"A_32_P163458",1.3593823,4.044603725,5.29405778034604,0.00110614400577064,0.00110614400577064,-3.88806968104685,"SPDYE3","SPDYE3"
"A_33_P3256287",1.027537575,2.2116252125,5.26070792364959,0.00114726519305064,0.00114726519305064,-3.89045588151611,"","A_33_P3256287"
"A_33_P3851788",0.645280775000002,7.7267251125,5.25572716324365,0.00115355121830792,0.00115355121830792,-3.8908149824055,"C19orf23","C19orf23"
"A_33_P3245163",1.1109068,2.1638645,5.23925787473932,0.00117461066345929,0.00117461066345929,-3.89200746312624,"MYC","MYC"
"A_21_P0014464",1.48988835,2.685240425,5.15287237689738,0.00129231164460907,0.00129231164460907,-3.89839234572179,"LOC100507201","LOC100507201"
"A_33_P3231820",-1.0706104,3.515882525,-5.1479297712482,0.00129943187836152,0.00129943187836152,-3.89876437721068,"ASTL","ASTL"
